job_id,title,company,location,salary_min,salary_max,salary_type,work_model,contract_type,experience_years_min,experience_status,junior_type,source,url
1005006255,Junior Power BI / FP&A Analyst,NESS SOLUTION sp. z o.o.,Cała Polska,,,,Remote,B2B,,Required,Junior,Pracuj.pl,"https://www.pracuj.pl/praca/junior-power-bi-fp-a-analyst-warszawa,oferta,1005006255"
1005066144,Młodszy Specjalista ds. rozliczeń i analiz systemów premiowych,PKO Leasing S.A.,Warszawa,,,,Hybrid,Umowa o pracę,0,Not required,Junior,Pracuj.pl,"https://www.pracuj.pl/praca/mlodszy-specjalista-ds-rozliczen-i-analiz-systemow-premiowych-warszawa-chlodna-52,oferta,1005066144"
1005028426,Młodszy Analityk / Młodsza Analityczka,Grupa PSB Handel S.A.,Warszawa,,,,Office,Umowa o pracę,1,Required,Junior,Pracuj.pl,"https://www.pracuj.pl/praca/mlodszy-analityk-mlodsza-analityczka-warszawa-zytomierska-5,oferta,1005028426"
1005062489,Młodszy Analityk Finansowy,Centrala Farmaceutyczna Cefarm S A,Warszawa,6000,8000,gross,Office,Umowa o pracę / umowa zlecenie,,Unknown,Junior,Pracuj.pl,"https://www.pracuj.pl/praca/mlodszy-analityk-finansowy-warszawa-jana-kazimierza-16,oferta,1005062489"
1005064257,Młodszy Administrator ERP / Młodszy Analityk Danych - Radius (K/M),FORMIKA SP. Z O.O.,Brwinów,,,,Hybrid,Umowa o pracę,,Required,Junior,Pracuj.pl,"https://www.pracuj.pl/praca/mlodszy-administrator-erp-mlodszy-analityk-danych-radius-k-m-brwinow,oferta,1005064257"
1005028285,Junior Finance Analyst,LeasingTeam Professional,Warszawa,8500,9200,gross,Office,Umowa o pracę,0,Not required,Junior,Pracuj.pl,"https://www.pracuj.pl/praca/junior-finance-analyst-warszawa,oferta,1005028285"
1005066497,Junior Analyst (M/F/D),DSV GBS,Warszawa,,,,Hybrid,Umowa o pracę,,Required,Junior,Pracuj.pl,"https://www.pracuj.pl/praca/junior-analyst-m-f-d-warszawa-tasmowa-10,oferta,1005066497"
1005024215,Młodszy Analityk ds. Dory i Outsourcingu (k/m/d),Generali,Warszawa,,,,Hybrid,Umowa zlecenie,0,Not required,Junior,Pracuj.pl,"https://www.pracuj.pl/praca/mlodszy-analityk-ds-dory-i-outsourcingu-k-m-d-warszawa-senatorska-18,oferta,1005024215"
1005054518,Junior Business Analyst,Netcredit,Warszawa,,,,Hybrid,Umowa o pracę,0,Not required,Junior,Pracuj.pl,"https://www.pracuj.pl/praca/junior-business-analyst-warszawa-grzybowska-87,oferta,1005054518"
1005047227,Młodszy Analityk Finansowy / Młodsza Analityczka Finansowa,Randstad Polska Sp. z o.o.,Warszawa,,,,Office,Umowa o pracę tymczasową,0,Not required,Junior,Pracuj.pl,"https://www.pracuj.pl/praca/mlodszy-analityk-finansowy-mlodsza-analityczka-finansowa-warszawa,oferta,1005047227"
